maxAge,endDate,netIncome,changeToLiabilities,symbol,investments,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,repurchaseOfStock,issuanceOfStock,capitalExpenditures
1,,"164,717,000",0,GL,"-293,357,000","-305,762,000","-15,345,000","-169,481,000",,"-53,684,000","-1,726,000","423,285,000",,,"-17,696,000",,"-37,136,000","237,940,000","-110,896,000","11,592,000","-7,015,000"
1,1538265600,178724000,0,GL,-665997000,-680606000,491341000,359558000,,-4791000,-4512000,320769000,,,-18075000,,-35696000,142045000,-91725000,13713000,-8581000
1,2018-09-30,178.72M,,GL,-666M,-680.61M,491.34M,359.56M,,-4.79M,-4.51M,320.77M,,,-18.07M,,-35.7M,142.04M,-91.72M,13.71M,-8.58M
1,,"178,724,000",0,GL,"-665,997,000","-680,606,000","491,341,000","359,558,000",,"-4,791,000","-4,512,000","320,769,000",,,"-18,075,000",,"-35,696,000","142,045,000","-91,725,000","13,713,000","-8,581,000"
1,1561852800,372000000,0,HIG,1812000000,-99000000,-330000000,-427000000,166000000,179000000,-20000000,725000000,113000000,17000000,-112000000,,53000000,-479000000,-38000000,,-24000000
1,2019-06-30,372M,,HIG,1.81B,-99M,-330M,-427M,166M,179M,-20M,725M,113M,17M,-112M,,53M,-479M,-38M,,-24M
1,,"372,000,000",0,HIG,"1,812,000,000","-99,000,000","-330,000,000","-427,000,000","166,000,000","179,000,000","-20,000,000","725,000,000","113,000,000","17,000,000","-112,000,000",,"53,000,000","-479,000,000","-38,000,000",,"-24,000,000"
1,1553990400,630000000,0,HIG,53000000,129000000,-261000000,-428000000,-431000000,-17000000,3000000,279000000,108000000,27000000,-115000000,,-24000000,-499000000,-28000000,,-20000000
1,2019-03-31,630M,,HIG,53M,129M,-261M,-428M,-431M,-17M,3M,279M,108M,27M,-115M,,-24M,-499M,-28M,,-20M
1,,"630,000,000",0,HIG,"53,000,000","129,000,000","-261,000,000","-428,000,000","-431,000,000","-17,000,000","3,000,000","279,000,000","108,000,000","27,000,000","-115,000,000",,"-24,000,000","-499,000,000","-28,000,000",,"-20,000,000"
1,1546214400,196000000,0,HIG,-975000000,-1200000000,25000000,224000000,489000000,19000000,-6000000,1001000000,108000000,-26000000,-109000000,,-24000000,-113000000,-26000000,,-52000000
1,2018-12-31,196M,,HIG,-975M,-1.2B,25M,224M,489M,19M,-6M,1B,108M,-26M,-109M,,-24M,-113M,-26M,,-52M
1,,"196,000,000",0,HIG,"-975,000,000","-1,200,000,000","25,000,000","224,000,000","489,000,000","19,000,000","-6,000,000","1,001,000,000","108,000,000","-26,000,000","-109,000,000",,"-24,000,000","-113,000,000","-26,000,000",,"-52,000,000"
1,1538265600,432000000,0,HIG,-377000000,-555000000,25000000,-64000000,-40000000,-45000000,2000000,572000000,122000000,37000000,-90000000,,-9000000,-328000000,-26000000,10000000,-11000000
1,2018-09-30,432M,,HIG,-377M,-555M,25M,-64M,-40M,-45M,2M,572M,122M,37M,-90M,,-9M,-328M,-26M,10M,-11M
1,,"432,000,000",0,HIG,"-377,000,000","-555,000,000","25,000,000","-64,000,000","-40,000,000","-45,000,000","2,000,000","572,000,000","122,000,000","37,000,000","-90,000,000",,"-9,000,000","-328,000,000","-26,000,000","10,000,000","-11,000,000"
1,1561852800,332000000,-50000000,MMC,84000000,-5243000000,-941000000,-1502000000,-69000000,-6182000000,46000000,517000000,268000000,-45000000,-212000000,-128000000,-279000000,254000000,-101000000,31000000,-88000000
1,2019-06-30,332M,-50M,MMC,84M,-5.24B,-941M,-1.5B,-69M,-6.18B,46M,517M,268M,-45M,-212M,-128M,-279M,254M,-101M,31M,-88M
1,,"332,000,000","-50,000,000",MMC,"84,000,000","-5,243,000,000","-941,000,000","-1,502,000,000","-69,000,000","-6,182,000,000","46,000,000","517,000,000","268,000,000","-45,000,000","-212,000,000","-128,000,000","-279,000,000","254,000,000","-101,000,000","31,000,000","-88,000,000"
1,1553990400,716000000,79000000,MMC,27000000,-187000000,7207000000,6826000000,-1058000000,6410000000,47000000,-276000000,193000000,-2000000,-210000000,-309000000,-162000000,7000000,-86000000,77000000,-73000000
1,2019-03-31,716M,79M,MMC,27M,-187M,7.21B,6.83B,-1.06B,6.41B,47M,-276M,193M,-2M,-210M,-309M,-162M,7M,-86M,77M,-73M
1,,"716,000,000","79,000,000",MMC,"27,000,000","-187,000,000","7,207,000,000","6,826,000,000","-1,058,000,000","6,410,000,000","47,000,000","-276,000,000","193,000,000","-2,000,000","-210,000,000","-309,000,000","-162,000,000","7,000,000","-86,000,000","77,000,000","-73,000,000"
1,1546214400,153000000,26000000,MMC,5000000,-337000000,-329000000,-563000000,403000000,115000000,-94000000,1109000000,123000000,-7000000,-213000000,132000000,-37000000,299000000,-5000000,21000000,-92000000
1,2018-12-31,153M,26M,MMC,5M,-337M,-329M,-563M,403M,115M,-94M,1.11B,123M,-7M,-213M,132M,-37M,299M,-5M,21M,-92M
