symbol,endDate,index,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
MET,2019/06/30,132,0.0,0.0,2297000000,235000000,1741000000,0,5687000000,2584000000,2584000000,3103000000,-274000000,0.0,0.0,0.0,551000000,17497000000,14913000000,11810000000,-287000000,0,1746000000,1684000000
MET,2019/03/31,135,0.0,0.0,1744000000,229000000,1381000000,0,4969000000,1985000000,1985000000,2984000000,-234000000,0.0,0.0,0.0,359000000,16302000000,14317000000,11333000000,-241000000,0,1385000000,1349000000
MET,2018/12/31,138,0.0,0.0,2471000000,217000000,2067000000,-145000000,5871000000,2763000000,2763000000,3253000000,-265000000,0.0,0.0,0.0,409000000,15667000000,12904000000,9796000000,-292000000,0,2062000000,2010000000
MET,2018/09/30,141,0.0,0.0,1079000000,184000000,912000000,47000000,4543000000,1358000000,1358000000,3138000000,-262000000,0.0,0.0,0.0,164000000,16284000000,14926000000,11741000000,-279000000,0,915000000,880000000
PFG,2019/06/30,144,0.0,0.0,450300000,371800000,386300000,1046300000,1496600000,450300000,450300000,0,0,0.0,0.0,0.0,58200000,3972600000,3522300000,2476000000,0,0,392100000,386300000
PFG,2019/03/31,147,0.0,0.0,526000000,605500000,429900000,992700000,1518700000,526000000,526000000,0,0,0.0,0.0,0.0,73900000,3743900000,3217900000,2225200000,0,0,452100000,429900000
PFG,2018/12/31,150,0.0,0.0,242900000,457200000,236500000,1175200000,1299500000,124300000,124300000,0,0,0.0,0.0,0.0,11200000,3770600000,3646300000,2471100000,118600000,0,231700000,236500000
PFG,2018/09/30,153,0.0,0.0,569100000,216400000,456300000,1105000000,1674100000,569100000,569100000,0,0,0.0,0.0,0.0,109100000,4348100000,3779000000,2674000000,0,0,460000000,456300000
PGR,2019/06/30,156,0.0,0.0,1243600000,220100000,979400000,0,1336300000,1291000000,1291000000,45300000,-47400000,0.0,0.0,0.0,264600000,9444500000,8153500000,8108200000,-47400000,0,979000000,972700000
PGR,2019/03/31,159,0.0,0.0,1567500000,221200000,1078400000,0,1653000000,1614900000,1614900000,38100000,-47400000,0.0,0.0,0.0,484700000,9293800000,7678900000,7640800000,-47400000,0,1082800000,1071700000
PGR,2018/12/31,162,0.0,0.0,242200000,214500000,264700000,0,320200000,288200000,288200000,32000000,-46000000,0.0,0.0,0.0,-17600000,8028800000,7740600000,7708600000,-46000000,0,259800000,257900000
PGR,2018/09/30,165,0.0,0.0,1130500000,217400000,928400000,0,1208300000,1172500000,1172500000,35800000,-42000000,0.0,0.0,0.0,200300000,8490000000,7317500000,7281700000,-42000000,0,930200000,921700000
PRU,2019/06/30,168,0.0,0.0,900000000,493000000,708000000,3137000000,4014000000,877000000,877000000,0,-392000000,0.0,0.0,0.0,162000000,15388000000,14511000000,11374000000,-369000000,0,738000000,700000000
PRU,2019/03/31,171,0.0,0.0,1169000000,440000000,932000000,3156000000,4296000000,1140000000,1140000000,0,-386000000,0.0,0.0,0.0,232000000,15091000000,13951000000,10795000000,-202000000,0,937000000,922000000
PRU,2018/12/31,174,0.0,0.0,1067000000,414000000,842000000,1820000000,4585000000,2765000000,2765000000,0,-1423000000,0.0,0.0,0.0,218000000,18744000000,15979000000,14159000000,-1698000000,0,849000000,831000000
PRU,2018/09/30,177,0.0,0.0,1859000000,357000000,1672000000,2960000000,4798000000,1838000000,1838000000,0,-1423000000,0.0,0.0,0.0,184000000,16148000000,14310000000,11350000000,21000000,0,1675000000,1653000000
