symbol,date,amount,type
AFL,2009-08-17,0.28,DIVIDEND
ALL,2009-08-27,0.2,DIVIDEND
L,2009-08-28,0.0625,DIVIDEND
RE,2009-08-31,0.48,DIVIDEND
HIG,2009-08-31,0.05,DIVIDEND
TRV,2009-09-08,0.3,DIVIDEND
CB,2009-09-16,0.35,DIVIDEND
CINF,2009-09-16,0.395,DIVIDEND
WLTW,2009-09-28,0.26,DIVIDEND
AJG,2009-09-28,0.32,DIVIDEND
CB,2009-09-29,0.31,DIVIDEND
GL,2009-09-30,0.14,DIVIDEND
LNC,2009-10-07,0.01,DIVIDEND
MMC,2009-10-07,0.2,DIVIDEND
UNM,2009-10-22,0.0825,DIVIDEND
AON,2009-10-29,0.15,DIVIDEND
MET,2009-11-05,0.74,DIVIDEND
PFG,2009-11-10,0.5,DIVIDEND
AFL,2009-11-16,0.28,DIVIDEND
PRU,2009-11-20,0.7,DIVIDEND
L,2009-11-25,0.0625,DIVIDEND
ALL,2009-11-25,0.2,DIVIDEND
HIG,2009-11-27,0.05,DIVIDEND
RE,2009-11-30,0.48,DIVIDEND
TRV,2009-12-08,0.33,DIVIDEND
CB,2009-12-15,0.31,DIVIDEND
CB,2009-12-16,0.35,DIVIDEND
CINF,2009-12-21,0.395,DIVIDEND
WLTW,2009-12-28,0.26,DIVIDEND
AJG,2009-12-29,0.32,DIVIDEND
GL,2010-01-04,0.15,DIVIDEND
LNC,2010-01-07,0.01,DIVIDEND
UNM,2010-01-21,0.0825,DIVIDEND
PGR,2010-01-25,0.1613,DIVIDEND
MMC,2010-01-27,0.2,DIVIDEND
AON,2010-01-28,0.15,DIVIDEND
AFL,2010-02-11,0.28,DIVIDEND
L,2010-02-25,0.0625,DIVIDEND
HIG,2010-02-25,0.05,DIVIDEND
TRV,2010-03-08,0.33,DIVIDEND
RE,2010-03-08,0.48,DIVIDEND
ALL,2010-03-10,0.2,DIVIDEND
CB,2010-03-17,0.37,DIVIDEND
CINF,2010-03-22,0.395,DIVIDEND
AJG,2010-03-29,0.32,DIVIDEND
WLTW,2010-03-29,0.26,DIVIDEND
CB,2010-03-29,0.31,DIVIDEND
GL,2010-03-30,0.15,DIVIDEND
LNC,2010-04-07,0.01,DIVIDEND
MMC,2010-04-07,0.2,DIVIDEND
UNM,2010-04-22,0.0825,DIVIDEND
AON,2010-04-29,0.15,DIVIDEND
AFL,2010-05-17,0.28,DIVIDEND
ALL,2010-05-26,0.2,DIVIDEND
HIG,2010-05-27,0.05,DIVIDEND
L,2010-05-27,0.0625,DIVIDEND
RE,2010-05-28,0.48,DIVIDEND
TRV,2010-06-08,0.36,DIVIDEND
CINF,2010-06-21,0.395,DIVIDEND
CB,2010-06-23,0.37,DIVIDEND
WLTW,2010-06-28,0.26,DIVIDEND
AJG,2010-06-28,0.32,DIVIDEND
GL,2010-06-30,0.15,DIVIDEND
MMC,2010-07-07,0.2,DIVIDEND
LNC,2010-07-07,0.01,DIVIDEND
CB,2010-07-23,0.33,DIVIDEND
UNM,2010-07-28,0.0925,DIVIDEND
AON,2010-07-29,0.15,DIVIDEND
AFL,2010-08-16,0.28,DIVIDEND
ALL,2010-08-27,0.2,DIVIDEND
HIG,2010-08-30,0.05,DIVIDEND
RE,2010-08-30,0.48,DIVIDEND
L,2010-08-30,0.0625,DIVIDEND
TRV,2010-09-08,0.36,DIVIDEND
CB,2010-09-15,0.37,DIVIDEND
CINF,2010-09-20,0.4,DIVIDEND
AJG,2010-09-28,0.32,DIVIDEND
WLTW,2010-09-28,0.26,DIVIDEND
GL,2010-09-29,0.16,DIVIDEND
CB,2010-09-29,0.33,DIVIDEND
MMC,2010-10-06,0.21,DIVIDEND
LNC,2010-10-06,0.01,DIVIDEND
UNM,2010-10-21,0.0925,DIVIDEND
AON,2010-10-28,0.15,DIVIDEND
MET,2010-11-05,0.74,DIVIDEND
AFL,2010-11-15,0.3,DIVIDEND
PFG,2010-11-17,0.55,DIVIDEND
PRU,2010-11-19,1.15,DIVIDEND
ALL,2010-11-26,0.2,DIVIDEND
L,2010-11-26,0.0625,DIVIDEND
RE,2010-11-29,0.48,DIVIDEND
HIG,2010-11-29,0.05,DIVIDEND
TRV,2010-12-08,0.36,DIVIDEND
CB,2010-12-14,0.33,DIVIDEND
PGR,2010-12-16,1.0,DIVIDEND
