investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,endDate,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,maxAge,changeToNetincome,symbol,depreciation,capitalExpenditures
"-50,000,000","113,000,000","-56,000,000","5,000,000","-126,000,000","-156,000,000","3,000,000","695,000,000","18,000,000",,,,"200,000,000",,"-85,000,000","-95,000,000","-44,000,000",1,"-496,000,000",CINF,"19,000,000","-5,000,000"
-64000000,-75000000,-71000000,2000000,-116000000,217000000,2000000,-452000000,168000000,1546214400,,,355000000,,-85000000,5000000,-35000000,1,614000000,CINF,15000000,-6000000
-64M,-75M,-71M,2M,-116M,217M,2M,-452M,168M,2018-12-31,,,355M,,-85M,5M,-35M,1,614M,CINF,15M,-6M
"-64,000,000","-75,000,000","-71,000,000","2,000,000","-116,000,000","217,000,000","2,000,000","-452,000,000","168,000,000",,,,"355,000,000",,"-85,000,000","5,000,000","-35,000,000",1,"614,000,000",CINF,"15,000,000","-6,000,000"
-107000000,13000000,-115000000,-31000000,-152000000,160000000,2000000,553000000,95000000,1538265600,,,362000000,,-85000000,15000000,-38000000,1,-274000000,CINF,16000000,-5000000
-107M,13M,-115M,-31M,-152M,160M,2M,553M,95M,2018-09-30,,,362M,,-85M,15M,-38M,1,-274M,CINF,16M,-5M
"-107,000,000","13,000,000","-115,000,000","-31,000,000","-152,000,000","160,000,000","2,000,000","553,000,000","95,000,000",,,,"362,000,000",,"-85,000,000","15,000,000","-38,000,000",1,"-274,000,000",CINF,"16,000,000","-5,000,000"
-346667000,84106000,-257607000,,-64952000,-118359000,,342855000,77393000,1561852800,-8756000,6243000,393709000,89060000,-56999000,-15211000,803000,1,11787000,RE,,
-346.67M,84.11M,-257.61M,,-64.95M,-118.36M,,342.86M,77.39M,2019-06-30,-8.76M,6.24M,393.71M,89.06M,-57M,-15.21M,803k,1,11.79M,RE,,
"-346,667,000","84,106,000","-257,607,000",,"-64,952,000","-118,359,000",,"342,855,000","77,393,000",,"-8,756,000","6,243,000","393,709,000","89,060,000","-56,999,000","-15,211,000","803,000",1,"11,787,000",RE,,
-487442000,135157000,-432750000,,-93021000,109577000,,348900000,-72121000,1553990400,-27596000,-6152000,459802000,54692000,-57137000,-163108000,-8288000,1,-62478000,RE,,
-487.44M,135.16M,-432.75M,,-93.02M,109.58M,,348.9M,-72.12M,2019-03-31,-27.6M,-6.15M,459.8M,54.69M,-57.14M,-163.11M,-8.29M,1,-62.48M,RE,,
"-487,442,000","135,157,000","-432,750,000",,"-93,021,000","109,577,000",,"348,900,000","-72,121,000",,"-27,596,000","-6,152,000","459,802,000","54,692,000","-57,137,000","-163,108,000","-8,288,000",1,"-62,478,000",RE,,
-42527000,177724000,-2447000,,-58925000,522908000,,-382274000,16334000,1546214400,-1653000,11266000,66440000,40080000,-56878000,-128425000,-394000,1,199406000,RE,,
-42.53M,177.72M,-2.45M,,-58.92M,522.91M,,-382.27M,16.33M,2018-12-31,-1.65M,11.27M,66.44M,40.08M,-56.88M,-128.43M,-394k,1,199.41M,RE,,
"-42,527,000","177,724,000","-2,447,000",,"-58,925,000","522,908,000",,"-382,274,000","16,334,000",,"-1,653,000","11,266,000","66,440,000","40,080,000","-56,878,000","-128,425,000","-394,000",1,"199,406,000",RE,,
-362421000,212771000,-279348000,,-101595000,127923000,,205613000,20268000,1538265600,-50400000,-9770000,410981000,83073000,-52863000,-138201000,1668000,1,-12643000,RE,,
-362.42M,212.77M,-279.35M,,-101.59M,127.92M,,205.61M,20.27M,2018-09-30,-50.4M,-9.77M,410.98M,83.07M,-52.86M,-138.2M,1.67M,1,-12.64M,RE,,
"-362,421,000","212,771,000","-279,348,000",,"-101,595,000","127,923,000",,"205,613,000","20,268,000",,"-50,400,000","-9,770,000","410,981,000","83,073,000","-52,863,000","-138,201,000","1,668,000",1,"-12,643,000",RE,,
-30957000,0,-50594000,-39425000,-186657000,,28006000,186566000,21977000,1561852800,-119201000,-4124000,263352000,,-18956000,,-37081000,1,76786000,GL,,-14639000
-30.96M,,-50.59M,-39.42M,-186.66M,,28.01M,186.57M,21.98M,2019-06-30,-119.2M,-4.12M,263.35M,,-18.96M,,-37.08M,1,76.79M,GL,,-14.64M
"-30,957,000",0,"-50,594,000","-39,425,000","-186,657,000",,"28,006,000","186,566,000","21,977,000",,"-119,201,000","-4,124,000","263,352,000",,"-18,956,000",,"-37,081,000",1,"76,786,000",GL,,"-14,639,000"
-293357000,0,-305762000,-15345000,-169481000,,11592000,185345000,-53684000,1553990400,-110896000,-1726000,423285000,,-17696000,,-37136000,1,237940000,GL,,-7015000
-293.36M,,-305.76M,-15.35M,-169.48M,,11.59M,185.34M,-53.68M,2019-03-31,-110.9M,-1.73M,423.29M,,-17.7M,,-37.14M,1,237.94M,GL,,-7.01M
"-293,357,000",0,"-305,762,000","-15,345,000","-169,481,000",,"11,592,000","185,345,000","-53,684,000",,"-110,896,000","-1,726,000","423,285,000",,"-17,696,000",,"-37,136,000",1,"237,940,000",GL,,"-7,015,000"
-293357000,0,-305762000,-15345000,-169481000,,11592000,164717000,-53684000,1546214400,-110896000,-1726000,423285000,,-17696000,,-37136000,1,237940000,GL,,-7015000
-293.36M,,-305.76M,-15.35M,-169.48M,,11.59M,164.72M,-53.68M,2018-12-31,-110.9M,-1.73M,423.29M,,-17.7M,,-37.14M,1,237.94M,GL,,-7.01M
"-293,357,000",0,"-305,762,000","-15,345,000","-169,481,000",,"11,592,000","164,717,000","-53,684,000",,"-110,896,000","-1,726,000","423,285,000",,"-17,696,000",,"-37,136,000",1,"237,940,000",GL,,"-7,015,000"
-665997000,0,-680606000,491341000,359558000,,13713000,178724000,-4791000,1538265600,-91725000,-4512000,320769000,,-18075000,,-35696000,1,142045000,GL,,-8581000
-666M,,-680.61M,491.34M,359.56M,,13.71M,178.72M,-4.79M,2018-09-30,-91.72M,-4.51M,320.77M,,-18.07M,,-35.7M,1,142.04M,GL,,-8.58M
"-665,997,000",0,"-680,606,000","491,341,000","359,558,000",,"13,713,000","178,724,000","-4,791,000",,"-91,725,000","-4,512,000","320,769,000",,"-18,075,000",,"-35,696,000",1,"142,045,000",GL,,"-8,581,000"
1812000000,0,-99000000,-330000000,-427000000,166000000,,372000000,179000000,1561852800,-38000000,-20000000,725000000,17000000,-112000000,,53000000,1,-479000000,HIG,113000000,-24000000
1.81B,,-99M,-330M,-427M,166M,,372M,179M,2019-06-30,-38M,-20M,725M,17M,-112M,,53M,1,-479M,HIG,113M,-24M
"1,812,000,000",0,"-99,000,000","-330,000,000","-427,000,000","166,000,000",,"372,000,000","179,000,000",,"-38,000,000","-20,000,000","725,000,000","17,000,000","-112,000,000",,"53,000,000",1,"-479,000,000",HIG,"113,000,000","-24,000,000"
53000000,0,129000000,-261000000,-428000000,-431000000,,630000000,-17000000,1553990400,-28000000,3000000,279000000,27000000,-115000000,,-24000000,1,-499000000,HIG,108000000,-20000000
53M,,129M,-261M,-428M,-431M,,630M,-17M,2019-03-31,-28M,3M,279M,27M,-115M,,-24M,1,-499M,HIG,108M,-20M
"53,000,000",0,"129,000,000","-261,000,000","-428,000,000","-431,000,000",,"630,000,000","-17,000,000",,"-28,000,000","3,000,000","279,000,000","27,000,000","-115,000,000",,"-24,000,000",1,"-499,000,000",HIG,"108,000,000","-20,000,000"
-975000000,0,-1200000000,25000000,224000000,489000000,,196000000,19000000,1546214400,-26000000,-6000000,1001000000,-26000000,-109000000,,-24000000,1,-113000000,HIG,108000000,-52000000
-975M,,-1.2B,25M,224M,489M,,196M,19M,2018-12-31,-26M,-6M,1B,-26M,-109M,,-24M,1,-113M,HIG,108M,-52M
"-975,000,000",0,"-1,200,000,000","25,000,000","224,000,000","489,000,000",,"196,000,000","19,000,000",,"-26,000,000","-6,000,000","1,001,000,000","-26,000,000","-109,000,000",,"-24,000,000",1,"-113,000,000",HIG,"108,000,000","-52,000,000"
-377000000,0,-555000000,25000000,-64000000,-40000000,10000000,432000000,-45000000,1538265600,-26000000,2000000,572000000,37000000,-90000000,,-9000000,1,-328000000,HIG,122000000,-11000000
-377M,,-555M,25M,-64M,-40M,10M,432M,-45M,2018-09-30,-26M,2M,572M,37M,-90M,,-9M,1,-328M,HIG,122M,-11M
"-377,000,000",0,"-555,000,000","25,000,000","-64,000,000","-40,000,000","10,000,000","432,000,000","-45,000,000",,"-26,000,000","2,000,000","572,000,000","37,000,000","-90,000,000",,"-9,000,000",1,"-328,000,000",HIG,"122,000,000","-11,000,000"
84000000,-50000000,-5243000000,-941000000,-1502000000,-69000000,31000000,332000000,-6182000000,1561852800,-101000000,46000000,517000000,-45000000,-212000000,-128000000,-279000000,1,254000000,MMC,268000000,-88000000
84M,-50M,-5.24B,-941M,-1.5B,-69M,31M,332M,-6.18B,2019-06-30,-101M,46M,517M,-45M,-212M,-128M,-279M,1,254M,MMC,268M,-88M
"84,000,000","-50,000,000","-5,243,000,000","-941,000,000","-1,502,000,000","-69,000,000","31,000,000","332,000,000","-6,182,000,000",,"-101,000,000","46,000,000","517,000,000","-45,000,000","-212,000,000","-128,000,000","-279,000,000",1,"254,000,000",MMC,"268,000,000","-88,000,000"
27000000,79000000,-187000000,7207000000,6826000000,-1058000000,77000000,716000000,6410000000,1553990400,-86000000,47000000,-276000000,-2000000,-210000000,-309000000,-162000000,1,7000000,MMC,193000000,-73000000
27M,79M,-187M,7.21B,6.83B,-1.06B,77M,716M,6.41B,2019-03-31,-86M,47M,-276M,-2M,-210M,-309M,-162M,1,7M,MMC,193M,-73M
"27,000,000","79,000,000","-187,000,000","7,207,000,000","6,826,000,000","-1,058,000,000","77,000,000","716,000,000","6,410,000,000",,"-86,000,000","47,000,000","-276,000,000","-2,000,000","-210,000,000","-309,000,000","-162,000,000",1,"7,000,000",MMC,"193,000,000","-73,000,000"
5000000,26000000,-337000000,-329000000,-563000000,403000000,21000000,153000000,115000000,1546214400,-5000000,-94000000,1109000000,-7000000,-213000000,132000000,-37000000,1,299000000,MMC,123000000,-92000000
5M,26M,-337M,-329M,-563M,403M,21M,153M,115M,2018-12-31,-5M,-94M,1.11B,-7M,-213M,132M,-37M,1,299M,MMC,123M,-92M
"5,000,000","26,000,000","-337,000,000","-329,000,000","-563,000,000","403,000,000","21,000,000","153,000,000","115,000,000",,"-5,000,000","-94,000,000","1,109,000,000","-7,000,000","-213,000,000","132,000,000","-37,000,000",1,"299,000,000",MMC,"123,000,000","-92,000,000"
2000000,-33000000,-473000000,-104000000,-515000000,222000000,24000000,276000000,-85000000,1538265600,-175000000,-3000000,906000000,1000000,-211000000,178000000,-49000000,1,170000000,MMC,124000000,-87000000
2M,-33M,-473M,-104M,-515M,222M,24M,276M,-85M,2018-09-30,-175M,-3M,906M,1M,-211M,178M,-49M,1,170M,MMC,124M,-87M
"2,000,000","-33,000,000","-473,000,000","-104,000,000","-515,000,000","222,000,000","24,000,000","276,000,000","-85,000,000",,"-175,000,000","-3,000,000","906,000,000","1,000,000","-211,000,000","178,000,000","-49,000,000",1,"170,000,000",MMC,"124,000,000","-87,000,000"
952000000,0,557000000,475000000,934000000,,,1741000000,3929000000,1561852800,-750000000,51000000,2387000000,-565000000,-476000000,,1685000000,1,646000000,MET,,
952M,,557M,475M,934M,,,1.74B,3.93B,2019-06-30,-750M,51M,2.39B,-565M,-476M,,1.69B,1,646M,MET,,
"952,000,000",0,"557,000,000","475,000,000","934,000,000",,,"1,741,000,000","3,929,000,000",,"-750,000,000","51,000,000","2,387,000,000","-565,000,000","-476,000,000",,"1,685,000,000",1,"646,000,000",MET,,
-2423000000,0,-5699000000,-22000000,2316000000,,,1381000000,-1315000000,1553990400,-500000000,-4000000,2072000000,-265000000,-437000000,,3275000000,1,691000000,MET,,
-2.42B,,-5.7B,-22M,2.32B,,,1.38B,-1.31B,2019-03-31,-500M,-4M,2.07B,-265M,-437M,,3.27B,1,691M,MET,,
