intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,maxAge,longTermDebt,accountsPayable,symbol,goodWill,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
"1,077,000,000","5,958,000,000","24,273,000,000","4,775,000,000","12,391,000,000","29,135,000,000",,"2,000,000","11,858,400,000","2,555,000,000","2,718,000,000","-3,740,000,000","2,196,000,000","552,000,000","14,537,000,000","3,000,000","-3,740,000,000","1,669,000,000","15,919,000,000","55,000,000","-4,521,000,000","77,600,000","3,323,000,000",1,"5,990,000,000","1,479,000,000",AON,"8,219,000,000","588,000,000","87,000,000","155,000,000"
1149000000,5965000000,22203000000,4151000000,11102000000,26422000000,1546214400,2000000,10665000000,2093000000,2745000000,-3909000000,2088000000,618900000,13296000000,1000000,-3909000000,588000000,14372000000,54000000,-5169000000,118100000,2873000000,1,5993000000,1943000000,AON,8171000000,561000000,68000000,156000000
1.15B,5.96B,22.2B,4.15B,11.1B,26.42B,2018-12-31,2M,10.66B,2.09B,2.75B,-3.91B,2.09B,618.9M,13.3B,1M,-3.91B,588M,14.37B,54M,-5.17B,118.1M,2.87B,1,5.99B,1.94B,AON,8.17B,561M,68M,156M
"1,149,000,000","5,965,000,000","22,203,000,000","4,151,000,000","11,102,000,000","26,422,000,000",,"2,000,000","10,665,000,000","2,093,000,000","2,745,000,000","-3,909,000,000","2,088,000,000","618,900,000","13,296,000,000","1,000,000","-3,909,000,000","588,000,000","14,372,000,000","54,000,000","-5,169,000,000","118,100,000","2,873,000,000",1,"5,993,000,000","1,943,000,000",AON,"8,171,000,000","561,000,000","68,000,000","156,000,000"
1260000000,5850000000,21274000000,4262000000,10302000000,25602000000,1538265600,2000000,9736000000,2042000000,2966000000,-3632000000,2066000000,484000000,12643000000,,-3632000000,594000000,13348000000,52000000,-5280000000,167000000,2852000000,1,5665000000,1600000000,AON,8282000000,476000000,66000000,150000000
1.26B,5.85B,21.27B,4.26B,10.3B,25.6B,2018-09-30,2M,9.74B,2.04B,2.97B,-3.63B,2.07B,484M,12.64B,,-3.63B,594M,13.35B,52M,-5.28B,167M,2.85B,1,5.67B,1.6B,AON,8.28B,476M,66M,150M
"1,260,000,000","5,850,000,000","21,274,000,000","4,262,000,000","10,302,000,000","25,602,000,000",,"2,000,000","9,736,000,000","2,042,000,000","2,966,000,000","-3,632,000,000","2,066,000,000","484,000,000","12,643,000,000",,"-3,632,000,000","594,000,000","13,348,000,000","52,000,000","-5,280,000,000","167,000,000","2,852,000,000",1,"5,665,000,000","1,600,000,000",AON,"8,282,000,000","476,000,000","66,000,000","150,000,000"
2008800000,3656500000,14252500000,4879400000,432300000,19200300000,1561852800,186100000,2440100000,1839300000,1148100000,-802500000,1526600000,512300000,8932500000,120300000,-802500000,826400000,9547400000,49200000,-2371300000,,6493500000,1,3844500000,6873800000,AJG,5241900000,905700000,68400000,
2.01B,3.66B,14.25B,4.88B,432.3M,19.2B,2019-06-30,186.1M,2.44B,1.84B,1.15B,-802.5M,1.53B,512.3M,8.93B,120.3M,-802.5M,826.4M,9.55B,49.2M,-2.37B,,6.49B,1,3.84B,6.87B,AJG,5.24B,905.7M,68.4M,
"2,008,800,000","3,656,500,000","14,252,500,000","4,879,400,000","432,300,000","19,200,300,000",,"186,100,000","2,440,100,000","1,839,300,000","1,148,100,000","-802,500,000","1,526,600,000","512,300,000","8,932,500,000","120,300,000","-802,500,000","826,400,000","9,547,400,000","49,200,000","-2,371,300,000",,"6,493,500,000",1,"3,844,500,000","6,873,800,000",AJG,"5,241,900,000","905,700,000","68,400,000",
