symbol,endDate,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,deferredLongTermLiab,goodWill,propertyPlantEquipment
PGR,2018/12/31,1246200000,1479000000,35538700000,10327900000,214500000,12736600000,46575000000,583200000,2931700000,8386600000,8082200000,-120900000,369000000,69500000,23051600000,43200000,0,-120900000,11603900000,31771500000,9580600000,1795900000,6497100000,4404900000,10250900000,0,452700000,1131700000
PGR,2018/09/30,1275300000,1443400000,33467500000,11364900000,217400000,11074800000,45543700000,583100000,2671300000,9602100000,58700000,-263700000,376400000,121900000,29548900000,0,0,-263700000,12759100000,29540900000,10599600000,2809700000,6776600000,3859900000,18474100000,0,452700000,1139300000
PRU,2019/06/30,20767000000,24825000000,811672000000,61660000000,493000000,24765000000,873825000000,6000000,4557000000,31263000000,744038000000,5566000000,397548000000,15421000000,47958000000,0,1756000000,23982000000,29976000000,424973000000,61660000000,6243000000,0,19087000000,6558000000,0,0,561000000
PRU,2019/03/31,21553000000,24782000000,793874000000,55010000000,440000000,20489000000,849324000000,6000000,4407000000,30966000000,731425000000,-744000000,390256000000,14699000000,42364000000,0,1740000000,17218000000,29820000000,407168000000,55010000000,7279000000,0,19534000000,5360000000,0,0,527000000
PRU,2018/12/31,22256000000,24828000000,766047000000,48617000000,414000000,8063000000,815078000000,6000000,9611000000,30470000000,693563000000,-6687000000,361888000000,15353000000,54151000000,0,1656000000,10906000000,34891000000,395180000000,47672000000,6684000000,0,18333000000,29758000000,1024000000,863000000,0
PRU,2018/09/30,21751000000,24810000000,775666000000,46725000000,357000000,12931000000,822748000000,6000000,4131000000,30005000000,723647000000,-8096000000,393770000000,12466000000,33668000000,0,1649000000,9150000000,25641000000,381586000000,46725000000,5961000000,0,18351000000,4512000000,0,0,0
TRV,2019/06/30,2616000000,0,83251000000,25321000000,0,14545000000,108572000000,23372000000,13625000000,36135000000,10089000000,-34186000000,5144000000,416000000,66309000000,0,0,206000000,25825000000,71044000000,21043000000,3487000000,8297000000,6458000000,51664000000,0,3943000000,0
TRV,2019/03/31,2531000000,0,82906000000,24340000000,0,14132000000,107246000000,23243000000,13683000000,35795000000,9980000000,-34698000000,4911000000,357000000,65585000000,115000000,0,-682000000,26081000000,69454000000,20050000000,4094000000,7947000000,6957000000,51353000000,0,3949000000,320000000
TRV,2018/12/31,2465000000,0,81339000000,22894000000,0,14860000000,104233000000,23144000000,13779000000,35204000000,8858000000,-35454000000,4789000000,373000000,66017000000,445000000,100000000,-1859000000,25655000000,67387000000,18612000000,3985000000,7518000000,6464000000,51057000000,0,3937000000,0
TRV,2018/09/30,2537000000,0,81930000000,22460000000,0,13979000000,104390000000,23089000000,13784000000,34799000000,10539000000,-35428000000,5211000000,359000000,64927000000,521000000,0,-2003000000,26219000000,66465000000,18151000000,4437000000,7639000000,6464000000,50848000000,0,3958000000,0
