researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,maxAge,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,symbol
,,"1,228,000,000",,"1,040,000,000","710,000,000","2,148,000,000","1,349,000,000",,"1,349,000,000","13,000,000","-140,000,000",,,,"188,000,000","7,906,000,000","6,557,000,000","5,758,000,000","-121,000,000",1,,"1,040,000,000","1,040,000,000",CB
,,514000000,,355000000,842000000,1468000000,527000000,1546214400,527000000,13000000,-153000000,,,,159000000,7606000000,7079000000,6138000000,-13000000,1,,355000000,355000000,CB
,,514M,,355M,842M,1.47B,527M,2018-12-31,527M,13M,-153M,,,,159M,7.61B,7.08B,6.14B,-13M,1,,355M,355M,CB
,,"514,000,000",,"355,000,000","842,000,000","1,468,000,000","527,000,000",,"527,000,000","13,000,000","-153,000,000",,,,"159,000,000","7,606,000,000","7,079,000,000","6,138,000,000","-13,000,000",1,,"355,000,000","355,000,000",CB
,,1414000000,,1231000000,719000000,2237000000,1416000000,1538265600,1416000000,19000000,-164000000,,,,183000000,8736000000,7320000000,6499000000,-2000000,1,,1231000000,1231000000,CB
,,1.41B,,1.23B,719M,2.24B,1.42B,2018-09-30,1.42B,19M,-164M,,,,183M,8.74B,7.32B,6.5B,-2M,1,,1.23B,1.23B,CB
,,"1,414,000,000",,"1,231,000,000","719,000,000","2,237,000,000","1,416,000,000",,"1,416,000,000","19,000,000","-164,000,000",,,,"183,000,000","8,736,000,000","7,320,000,000","6,499,000,000","-2,000,000",1,,"1,231,000,000","1,231,000,000",CB
,,530000000,,428000000,,569000000,543000000,1561852800,543000000,26000000,-13000000,,,,102000000,1913000000,1370000000,1344000000,-13000000,1,,428000000,428000000,CINF
,,530M,,428M,,569M,543M,2019-06-30,543M,26M,-13M,,,,102M,1.91B,1.37B,1.34B,-13M,1,,428M,428M,CINF
,,"530,000,000",,"428,000,000",,"569,000,000","543,000,000",,"543,000,000","26,000,000","-13,000,000",,,,"102,000,000","1,913,000,000","1,370,000,000","1,344,000,000","-13,000,000",1,,"428,000,000","428,000,000",CINF
,,867000000,,695000000,,910000000,880000000,1553990400,880000000,30000000,-13000000,,,,172000000,2159000000,1279000000,1249000000,-13000000,1,,695000000,695000000,CINF
,,867M,,695M,,910M,880M,2019-03-31,880M,30M,-13M,,,,172M,2.16B,1.28B,1.25B,-13M,1,,695M,695M,CINF
,,"867,000,000",,"695,000,000",,"910,000,000","880,000,000",,"880,000,000","30,000,000","-13,000,000",,,,"172,000,000","2,159,000,000","1,279,000,000","1,249,000,000","-13,000,000",1,,"695,000,000","695,000,000",CINF
,,-581000000,,-452000000,,-543000000,-568000000,1546214400,-568000000,25000000,-13000000,,,,-129000000,710000000,1278000000,1253000000,-13000000,1,,-452000000,-452000000,CINF
,,-581M,,-452M,,-543M,-568M,2018-12-31,-568M,25M,-13M,,,,-129M,710M,1.28B,1.25B,-13M,1,,-452M,-452M,CINF
,,"-581,000,000",,"-452,000,000",,"-543,000,000","-568,000,000",,"-568,000,000","25,000,000","-13,000,000",,,,"-129,000,000","710,000,000","1,278,000,000","1,253,000,000","-13,000,000",1,,"-452,000,000","-452,000,000",CINF
,,618000000,,553000000,,652000000,632000000,1538265600,632000000,20000000,-14000000,,,,65000000,1915000000,1283000000,1263000000,-14000000,1,,553000000,553000000,CINF
,,618M,,553M,,652M,632M,2018-09-30,632M,20M,-14M,,,,65M,1.92B,1.28B,1.26B,-14M,1,,553M,553M,CINF
,,"618,000,000",,"553,000,000",,"652,000,000","632,000,000",,"632,000,000","20,000,000","-14,000,000",,,,"65,000,000","1,915,000,000","1,283,000,000","1,263,000,000","-14,000,000",1,,"553,000,000","553,000,000",CINF
,,382593000,,342855000,7535000,406462000,398927000,1561852800,398927000,,-8434000,,,,39738000,2026875000,1627948000,1620413000,-16334000,1,,342855000,339018000,RE
,,382.59M,,342.86M,7.54M,406.46M,398.93M,2019-06-30,398.93M,,-8.43M,,,,39.74M,2.03B,1.63B,1.62B,-16.33M,1,,342.86M,339.02M,RE
,,"382,593,000",,"342,855,000","7,535,000","406,462,000","398,927,000",,"398,927,000",,"-8,434,000",,,,"39,738,000","2,026,875,000","1,627,948,000","1,620,413,000","-16,334,000",1,,"342,855,000","339,018,000",RE
,,408791000,,348900000,6652000,429174000,422522000,1553990400,422522000,,-7631000,,,,59891000,1966183000,1543661000,1537009000,-13731000,1,,348900000,345237000,RE
,,408.79M,,348.9M,6.65M,429.17M,422.52M,2019-03-31,422.52M,,-7.63M,,,,59.89M,1.97B,1.54B,1.54B,-13.73M,1,,348.9M,345.24M,RE
,,"408,791,000",,"348,900,000","6,652,000","429,174,000","422,522,000",,"422,522,000",,"-7,631,000",,,,"59,891,000","1,966,183,000","1,543,661,000","1,537,009,000","-13,731,000",1,,"348,900,000","345,237,000",RE
,,-702298000,,-382274000,7153000,-683061000,-690214000,1546214400,-690214000,,-7984000,,,,-320024000,1798797000,2489011000,2481858000,-12084000,1,,-382274000,-378206000,RE
,,-702.3M,,-382.27M,7.15M,-683.06M,-690.21M,2018-12-31,-690.21M,,-7.98M,,,,-320.02M,1.8B,2.49B,2.48B,-12.08M,1,,-382.27M,-378.21M,RE
